team_name,players
Arsenal,Cech;Gabriel;Koscielny;Monreal;Chamberlain;Ramsey;Xhaka;Gibbs;Giroud;Ozil;Sanchez
Chelsea,Courtois;Azpilicueta;David Luiz;Cahill;Moses;Kante;Matic;Alonso;Pedro;Costa;Hazard
Tottenham Hotspur,Lloris;Trippier;Alderweireld;Vertonghen;Davies;Dier;Wanyama;Alli;Eriksen;Son;Kane
Liverpool,Mignolet;Clyne;Lovren;Matip;Milner;Can;Wijnaldum;Lucas;Origi;Coutinho;Firmino
Manchester City,Caballero;Otamendi;Kompany;Kolarov;Navas;Fernandinho;Garcia;Clichy;De Bruyne;Aguero;Jesus
Manchester United,de Gea;Young;Bailly;Blind;Shaw;Herrera;Carrick;Lingard;Rooney;Martial;Rashford
Everton,Stekelenburg;Holgate;Jagielka;Williams;Baines;Gueye;Davies;Valencia;Barkley;Calvert-Lewin;Lukaku
West Bromwich Albion,Foster;Dawson;McAuley;Nyom;Evans;Livermore;Yacob;Brunt;Morrison;Chadli;Rondon
Stoke City,Butland;Shawcross;Martins Indi;Johnson;Muniesa;Whelan;Cameron;Shaqiri;Allen;Arnautovic;Berahino
West Ham United,Adrian;Reid;Fonte;Collins;Fernandes;Kouyate;Nordtveit;Masuaku;Ayew;Calleri;Lanzini
Southampton,Forster;Cedric;Stephens;Yoshida;Bertrand;Oriol Romeu;Davis;Tadic;Redmond;Boufal;Gabbiadini
Burnley,Heaton;Lowton;Keane;Tarkowski;Ward;Boyd;Westwood;Hendrick;Arfield;Vokes;Barnes
Watford,Gomes;Mariappa;Prodl;Britos;Amrabat;Capoue;Doucoure;Cleverley;Janmaat;Niang;Deeney
AFC Bournemouth,Boruc;Smith;Francis;Cook;Daniels;Arter;Cook;Pugh;Afobe;King;Fraser
Swansea City,Fabianski;Naughton;Fernandez;Mawson;Kingsley;Ki Sung-yueng;Britton;Carroll;Sigurdsson;Ayew;Llorente
Middlesbrough,Guzan;Fabio;Chambers;Gibson;Friend;de Roon;Clayton;Forshaw;Negredo;Stuani;Downing
Leicester City,Schmeichel;Simpson;Benalouane;Huth;Fuchs;Mahrez;Ndidi;Drinkwater;Albrighton;Vardy;Okazaki
Hull City,Jakupovic;Elmohamady;Ranocchia;Maguire;Robertson;N'Diaye;Clucas;Markovic;Evandro;Grosicki;Niasse
Crystal Palace,Hennessey;Ward;Kelly;Delaney;van Aanholt;Milivojevic;Puncheon;Zaha;McArthur;Townsend;Christian Benteke
Sunderland,Pickford;Love;Kone;O'Shea;Manquillo;Ndong;Borini;Pienaar;Khazri;Defoe;Anichebe